ticker,fiscal_year,accession,drift_score,n_new,n_modified,n_removed,n_total_risks,removal_rate,new_rate,modified_rate,theme_supply_chain,theme_supply_chain_count,theme_cybersecurity,theme_cybersecurity_count,theme_regulatory,theme_regulatory_count,theme_litigation,theme_litigation_count,theme_macro,theme_macro_count,theme_talent,theme_talent_count,theme_climate,theme_climate_count,theme_concentration,theme_concentration_count,theme_liquidity,theme_liquidity_count,theme_ai_technology,theme_ai_technology_count,cash_and_equivalents,eps_basic,eps_diluted,net_income,operating_cash_flow,operating_income,revenue,rnd_expense,stockholders_equity,total_assets,total_liabilities,net_margin,operating_margin,leverage,roe,asset_turnover,cash_ratio,rnd_intensity,filing_date,period_of_report,reporting_lag_days,fwd_return,market_return,excess_return
ADBE,2023,0000796343-24-000006,0.8028,0,57,31,71,0.43661971830985913,0.0,0.8028169014084507,0.07017543859649122,4,0.15789473684210525,9,0.43859649122807015,25,0.2631578947368421,15,0.17543859649122806,10,0.12280701754385964,7,0.17543859649122806,10,0.0,0,0.05263157894736842,3,0.12280701754385964,7,7141000000.0,11.87,11.82,5428000000.0,7302000000.0,6650000000.0,19409000000.0,,16518000000.0,29779000000.0,13261000000.0,0.2796640733680251,0.3426245556185275,0.4453138117465328,0.32861121201113935,0.6517680244467577,0.2397998589610128,,2024-01-17,2023-12-01,47,-0.201107162011537,0.06945838158496191,-0.2705655435964989
ADBE,2024,0000796343-25-000004,0.2778,0,20,21,72,0.2916666666666667,0.0,0.2777777777777778,0.05,1,0.05,1,0.75,15,0.2,4,0.2,4,0.2,4,0.05,1,0.0,0,0.05,1,0.15,3,7613000000.0,12.43,12.36,5560000000.0,8056000000.0,6741000000.0,21505000000.0,,14105000000.0,30230000000.0,16125000000.0,0.25854452452917925,0.31346198558474775,0.5334105193516374,0.3941864587025877,0.711379424412835,0.25183592457823356,,2025-01-13,2024-11-29,45,-0.1371603397290009,-0.07885200942556905,-0.058308330303431855
AXP,2019,0000004962-20-000030,0.284,0,23,10,81,0.12345679012345678,0.0,0.2839506172839506,0.08695652173913043,2,0.13043478260869565,3,0.6086956521739131,14,0.08695652173913043,2,0.2608695652173913,6,0.08695652173913043,2,0.08695652173913043,2,0.0,0,0.17391304347826086,4,0.043478260869565216,1,,,,6759000000.0,13632000000.0,,28159000000.0,,23071000000.0,198321000000.0,175250000000.0,0.24002983060478,,0.8836683961859814,0.292965194399896,0.1419869807030017,,,2020-02-13,2019-12-31,44,-0.41645522243891614,-0.15962788500420114,-0.256827337434715
AXP,2020,0000004962-21-000013,0.3372,0,29,11,86,0.12790697674418605,0.0,0.3372093023255814,0.034482758620689655,1,0.06896551724137931,2,0.5517241379310345,16,0.1724137931034483,5,0.10344827586206896,3,0.0,0,0.06896551724137931,2,0.0,0,0.1724137931034483,5,0.034482758620689655,1,,,,3135000000.0,5591000000.0,,21974000000.0,,22984000000.0,191367000000.0,168383000000.0,0.14266860835532902,,0.8798956977953357,0.136399234249913,0.11482648523517638,,,2021-02-12,2020-12-31,43,0.19227890842819764,0.04834914712024123,0.14392976130795643
AXP,2021,0000004962-22-000008,0.2577,0,25,13,97,0.13402061855670103,0.0,0.25773195876288657,0.04,1,0.16,4,0.68,17,0.2,5,0.16,4,0.12,3,0.12,3,0.0,0,0.08,2,0.0,0,,10.04,10.02,8060000000.0,14645000000.0,,27716000000.0,,22177000000.0,188548000000.0,166371000000.0,0.29080675422138835,,0.8823800835861425,0.3634395995851558,0.1469970511487791,,,2022-02-11,2021-12-31,42,-0.19865954811837677,-0.10648214318456097,-0.0921774049338158
AXP,2022,0000004962-23-000006,0.1683,0,17,13,101,0.12871287128712872,0.0,0.16831683168316833,0.11764705882352941,2,0.35294117647058826,6,0.5882352941176471,10,0.17647058823529413,3,0.4117647058823529,7,0.058823529411764705,1,0.11764705882352941,2,0.0,0,0.11764705882352941,2,0.0,0,,9.86,9.85,7514000000.0,21079000000.0,,34219000000.0,,24711000000.0,228354000000.0,203643000000.0,0.21958561033344048,,0.8917864368480517,0.304075108251386,0.14985067045026582,,,2023-02-10,2022-12-31,41,-0.1713347261744496,0.013878586944202425,-0.18521331311865202
AXP,2023,0000004962-24-000013,0.198,0,20,16,101,0.15841584158415842,0.0,0.19801980198019803,0.0,0,0.15,3,0.7,14,0.3,6,0.35,7,0.05,1,0.1,2,0.0,0,0.2,4,0.05,1,,11.23,11.21,8374000000.0,18559000000.0,,37218000000.0,,28057000000.0,261108000000.0,233051000000.0,0.22499865656402815,,0.8925463792760084,0.2984638414655879,0.1425387196102762,,,2024-02-09,2023-12-31,40,0.12901076969662162,0.041073572899223657,0.08793719679739796
AXP,2024,0000004962-25-000016,0.215,0,23,18,107,0.16822429906542055,0.0,0.21495327102803738,0.08695652173913043,2,0.17391304347826086,4,0.782608695652174,18,0.21739130434782608,5,0.391304347826087,9,0.13043478260869565,3,0.2608695652173913,6,0.0,0,0.17391304347826086,4,0.30434782608695654,7,,14.04,14.01,10129000000.0,14050000000.0,,38825000000.0,,30264000000.0,271461000000.0,241197000000.0,0.26088860270444303,,0.8885143722302651,0.33468807824477925,0.14302238627279792,,,2025-02-07,2024-12-31,38,-0.10155082521522861,-0.05661110251141274,-0.04493972270381587
BA,2019,0000012927-20-000014,0.3636,5,11,7,44,0.1590909090909091,0.11363636363636363,0.25,0.4375,7,0.0,0,0.6875,11,0.125,2,0.0,0,0.0625,1,0.125,2,0.0,0,0.0,0,0.0,0,9485000000.0,-1.12,-1.12,-636000000.0,-2446000000.0,-1975000000.0,76559000000.0,3219000000.0,-8617000000.0,133625000000.0,,-0.0083073185386434,-0.025797097663240117,,0.0738075896483695,0.5729391955098223,0.0709822263797942,0.04204600373568098,2020-01-31,2019-12-31,31,-0.5542808371790464,-0.09182150764377953,-0.4624593295352669
BA,2020,0000012927-21-000011,0.6,2,31,7,55,0.12727272727272726,0.03636363636363636,0.5636363636363636,0.42424242424242425,14,0.18181818181818182,6,0.3333333333333333,11,0.09090909090909091,3,0.030303030303030304,1,0.06060606060606061,2,0.12121212121212122,4,0.030303030303030304,1,0.12121212121212122,4,0.0,0,7752000000.0,-20.88,-20.88,-11873000000.0,-18410000000.0,-12767000000.0,58158000000.0,2476000000.0,-18316000000.0,152136000000.0,170211000000.0,-0.20415076171807833,-0.21952267959696,1.1188081716359046,0.6482310548154618,0.3822763842877425,0.05095440921280959,0.04257367859967674,2021-02-01,2020-12-31,32,0.19643587591948933,0.11279481074387211,0.08364106517561722
